element,date,block,n_blocks_fitted,n_points,n_standards,slope,sigma_slope,red_chi2,within_session_red_chi2,within_session_consistent
Al,2025-02-17,1,3,5,5,1.141167326977837,0.02698858062577099,11.648709617352813,0.04689575254152438,True
Al,2025-02-17,2,3,5,5,1.1410632897770665,0.026681608669859587,11.44011410009079,0.04689575254152438,True
Al,2025-02-17,3,3,5,5,1.1307386557984782,0.02807060236866186,12.735241422997108,0.04689575254152438,True
Al,2025-02-18,1,3,5,5,1.1455745095477112,0.027182483564865436,11.813920192392464,0.08511233322313891,True
Al,2025-02-18,2,3,5,5,1.1340774174879673,0.026772470804851085,11.55182683999384,0.08511233322313891,True
Al,2025-02-18,3,3,5,5,1.130255413255116,0.027722661737973334,12.432760460848836,0.08511233322313891,True
Al,2025-02-24,1,2,5,5,1.1446034392298092,0.030174002461256386,14.58409509561464,0.00423789939090647,True
Al,2025-02-24,2,2,5,5,1.1418396581050254,0.029865570238450018,14.345040353155653,0.00423789939090647,True
Al,2025-02-25,1,3,5,5,1.1380278255170053,0.029554902161054223,13.979937047532864,0.016294253874135946,True
Al,2025-02-25,2,3,5,5,1.1316905951227938,0.02810027513634696,12.760725045295342,0.016294253874135946,True
Al,2025-02-25,3,3,5,5,1.131515401920614,0.028041934204017495,12.712137118232901,0.016294253874135946,True
Al,2025-02-26,1,3,5,5,1.1743882377468444,0.05090200531536541,41.35773502099721,0.18922477683598132,True
Al,2025-02-26,2,3,5,5,1.1433527407148283,0.030673979723431444,15.163691007484754,0.18922477683598132,True
Al,2025-02-26,3,3,5,5,1.137630323431436,0.03407134646570706,18.781525675548885,0.18922477683598132,True
Al,2025-02-27,1,3,5,5,1.141704488610456,0.03258283286392405,16.99000103205568,0.09117286061319056,True
Al,2025-02-27,2,3,5,5,1.1216019395918628,0.03508043615545932,19.971690849178948,0.09117286061319056,True
Al,2025-02-27,3,3,5,5,1.1293447524815061,0.03108738893853818,15.656576412670407,0.09117286061319056,True
Al,2025-02-28,1,2,5,5,1.1453138545866568,0.031246055017473972,15.594106504893167,0.18490691764455003,True
Al,2025-02-28,2,2,5,5,1.1259508136459266,0.03242435202762216,17.075094929096363,0.18490691764455003,True
Al,2025-04-15,1,3,5,5,1.1324880567584361,0.027610854698878022,12.249256931620707,0.1605201214824132,True
Al,2025-04-15,2,3,5,5,1.113165064375147,0.03241927851387961,17.040169550136405,0.1605201214824132,True
Al,2025-04-15,3,3,5,5,1.1112882064641527,0.03229906089879532,16.93518510832211,0.1605201214824132,True
Al,2025-04-17,1,2,5,5,1.1072713532642655,0.029070880686874783,13.626242025981968,0.012625462802568037,True
Al,2025-04-17,2,2,5,5,1.1023419897662672,0.0328550889543023,17.642173401891633,0.012625462802568037,True
Al,2025-04-18,1,3,5,5,1.1089326701959639,0.03457997814699267,19.260054534976568,0.06595694555199652,True
Al,2025-04-18,2,3,5,5,1.0971072173823235,0.0352651444175353,20.355358501625705,0.06595694555199652,True
Al,2025-04-18,3,3,4,4,1.0924453680045303,0.030375096877697717,14.645269934297374,0.06595694555199652,True
Al,2025-04-19,1,3,5,5,1.045219634619858,0.028496773747988986,13.22916179448665,1.3716477502452618,True
Al,2025-04-19,2,3,5,5,1.1029798085135734,0.03343742226777304,18.254353506184962,1.3716477502452618,True
Al,2025-04-19,3,3,5,5,1.1067120162499013,0.029876358527752014,14.559059189981724,1.3716477502452618,True
Al,2025-04-20,1,2,5,5,1.104641402191208,0.03001403636050521,14.525624510225262,0.16651073241484013,True
Al,2025-04-20,2,2,5,5,1.0849204190783512,0.03787936052590586,23.5218638096326,0.16651073241484013,True
Al,2025-05-05,1,2,5,5,1.1137864710709584,0.029165254576153005,13.67541731076409,0.039949224093663985,True
Al,2025-05-05,2,2,5,5,1.105589544616584,0.028831631521990943,13.485255123307276,0.039949224093663985,True
Al,2025-05-06,1,3,5,5,1.1036721669733611,0.02983097680651644,14.302204482963312,0.07349742657241401,True
Al,2025-05-06,2,3,5,5,1.1026236873576039,0.02887080144895583,13.546718880762148,0.07349742657241401,True
Al,2025-05-06,3,3,5,5,1.0901771949858599,0.026759833023372773,11.679940284236723,0.07349742657241401,True
Al,2025-05-07,1,2,5,5,1.0982211010387712,0.02811506806306647,12.760516211556615,0.014111111475523297,True
Al,2025-05-07,2,2,5,5,1.0933517681904208,0.029829643654867875,14.525543817035562,0.014111111475523297,True
Al,2025-05-08,1,3,5,5,1.096179022382294,0.028696963223629773,13.275460656717788,0.011126794070838948,True
Al,2025-05-08,2,3,5,5,1.0951421576819633,0.031763879415311266,16.43533300208869,0.011126794070838948,True
Al,2025-05-08,3,3,5,5,1.1016032351952767,0.03387968627599946,18.669603546239877,0.011126794070838948,True
Al,2025-05-13,1,2,5,5,1.1050726039425525,0.02835366644698132,12.910805042191559,0.012691064759590871,True
Al,2025-05-13,2,2,5,5,1.1004728213321628,0.029380721651843432,14.017448628911648,0.012691064759590871,True
Al,2025-05-16,1,3,5,5,1.09955575119666,0.030522527126919975,15.152486442005188,0.017129316081606998,True
Al,2025-05-16,2,3,5,5,1.104555202564985,0.025610572297141213,10.64251008281478,0.017129316081606998,True
Al,2025-05-16,3,3,5,5,1.108262387573336,0.03761692746198413,23.026789191115018,0.017129316081606998,True
Al,2025-05-19,1,3,5,5,1.1169707655562755,0.03653631162828194,21.36484732417003,0.06172062917230709,True
Al,2025-05-19,2,3,5,5,1.1028293620065213,0.025522988308370614,10.560218313222503,0.06172062917230709,True
