element,date,n_points,n_standards,slope,sigma_slope,red_chi2,pooled_slope,pooled_sigma,homogeneity_red_chi2,recommend_single_factor
Al,2025-02-17,15,5,1.1376457149527126,0.01462737979340517,10.318031507365784,1.103971897121257,0.003007996460624106,1.5774024952642327,True
Al,2025-02-18,15,5,1.1366186074444393,0.014658292181484515,10.374082490380918,1.103971897121257,0.003007996460624106,1.5774024952642327,True
Al,2025-02-24,10,5,1.143219420695676,0.02001856011993838,12.86420469407512,1.103971897121257,0.003007996460624106,1.5774024952642327,True
Al,2025-02-25,15,5,1.1337336510289309,0.01529329705996435,11.30382417696701,1.103971897121257,0.003007996460624106,1.5774024952642327,True
Al,2025-02-26,15,5,1.1517899169742005,0.02155079013593106,22.413185325789318,1.103971897121257,0.003007996460624106,1.5774024952642327,True
Al,2025-02-27,15,5,1.130857484168587,0.017756597186557723,15.270357986375524,1.103971897121257,0.003007996460624106,1.5774024952642327,True
Al,2025-02-28,10,5,1.1355834859201606,0.021474619255304025,14.855123539065678,1.103971897121257,0.003007996460624106,1.5774024952642327,True
Al,2025-04-15,15,5,1.1189678432336614,0.01669672524270644,13.524679476013599,1.103971897121257,0.003007996460624106,1.5774024952642327,True
Al,2025-04-17,10,5,1.1047920183336901,0.020705402107508382,13.918986667383061,1.103971897121257,0.003007996460624106,1.5774024952642327,True
Al,2025-04-18,14,5,1.0995324747217792,0.018047895652417663,15.747377145560453,1.103971897121257,0.003007996460624106,1.5774024952642327,True
Al,2025-04-19,15,5,1.0852563679414782,0.0180325728324466,15.910546854920241,1.103971897121257,0.003007996460624106,1.5774024952642327,True
Al,2025-04-20,10,5,1.0947319219656282,0.023039827102517348,17.261279119703193,1.103971897121257,0.003007996460624106,1.5774024952642327,True
Al,2025-05-05,10,5,1.1096752183946608,0.019380483231506564,12.13169245258117,1.103971897121257,0.003007996460624106,1.5774024952642327,True
Al,2025-05-06,15,5,1.0988086768191831,0.015326843330835446,11.424685527884757,1.103971897121257,0.003007996460624106,1.5774024952642327,True
Al,2025-05-07,10,5,1.0957748440899864,0.019343625033927583,12.148521085891808,1.103971897121257,0.003007996460624106,1.5774024952642327,True
Al,2025-05-08,15,5,1.0976472692317525,0.016868832480042034,13.850947765204825,1.103971897121257,0.003007996460624106,1.5774024952642327,True
Al,2025-05-13,10,5,1.1027617603162354,0.019265051769782063,11.987094503587677,1.103971897121257,0.003007996460624106,1.5774024952642327,True
Al,2025-05-16,15,5,1.104129122566576,0.016940052358822774,13.99344216563801,1.103971897121257,0.003007996460624106,1.5774024952642327,True
Al,2025-05-19,15,5,1.1112325328594677,0.018031947671601354,15.730695167944598,1.103971897121257,0.003007996460624106,1.5774024952642327,True
Al,2025-05-20,15,5,1.1229154563181325,0.019241969325027697,17.869934135063122,1.103971897121257,0.003007996460624106,1.5774024952642327,True
Al,2025-05-21,15,5,1.0909634863658415,0.012658523905397102,7.784661606210883,1.103971897121257,0.003007996460624106,1.5774024952642327,True
Al,2025-05-22,15,5,1.0884464897823454,0.01297432385253896,8.20214012509703,1.103971897121257,0.003007996460624106,1.5774024952642327,True
Al,2025-05-26,15,5,1.085024493699596,0.01510147652431491,11.1528633740734,1.103971897121257,0.003007996460624106,1.5774024952642327,True
Al,2025-05-27,15,5,1.0942156595521624,0.015418570517221742,11.621122261137542,1.103971897121257,0.003007996460624106,1.5774024952642327,True
Al,2025-05-28,15,5,1.1014558356977524,0.014111231820353417,9.681210524922946,1.103971897121257,0.003007996460624106,1.5774024952642327,True
Al,2026-01-05,15,5,1.086576335727638,0.015583207554521621,11.930584907027265,1.103971897121257,0.003007996460624106,1.5774024952642327,True
Al,2026-01-06,15,5,1.0839501088111383,0.01390394172757431,9.460580921047447,1.103971897121257,0.003007996460624106,1.5774024952642327,True
Al,2026-01-07,15,5,1.0850683216180954,0.013799452812433697,9.308444328399606,1.103971897121257,0.003007996460624106,1.5774024952642327,True
Al,2026-01-08,10,5,1.0746614121221199,0.01801937143542469,10.618574972218147,1.103971897121257,0.003007996460624106,1.5774024952642327,True
Al,2026-01-09,15,5,1.081018662819188,0.014903377779491685,10.907746646300064,1.103971897121257,0.003007996460624106,1.5774024952642327,True
As,2025-02-17,12,4,0.9792864448468191,0.028784419168595993,2.558533752712605,0.9850557327208462,0.0052461518248202894,0.1404687480213128,True
As,2025-02-18,12,4,1.0037637133991162,0.03434362966462187,3.55016697012491,0.9850557327208462,0.0052461518248202894,0.1404687480213128,True
As,2025-02-24,8,4,0.9847852760978923,0.03235757782532781,2.1209508210260912,0.9850557327208462,0.0052461518248202894,0.1404687480213128,True
As,2025-02-25,12,4,0.9803452945518667,0.02512868334284289,1.945327392840387,0.9850557327208462,0.0052461518248202894,0.1404687480213128,True
As,2025-02-26,12,4,0.9674262399284755,0.02609860500771302,2.103566827117071,0.9850557327208462,0.0052461518248202894,0.1404687480213128,True
As,2025-02-27,12,4,0.993666672461411,0.02758028244797463,2.3041764772114592,0.9850557327208462,0.0052461518248202894,0.1404687480213128,True
As,2025-02-28,8,4,0.9851047510468289,0.03655305418396562,2.707110222472122,0.9850557327208462,0.0052461518248202894,0.1404687480213128,True
As,2025-04-15,12,4,0.9985331862931681,0.024010600028069373,1.7553750007318683,0.9850557327208462,0.0052461518248202894,0.1404687480213128,True
As,2025-04-17,8,4,0.9768711321108511,0.03132554015452671,2.0128797472482063,0.9850557327208462,0.0052461518248202894,0.1404687480213128,True
