element,standard,ref_value,pooled_mean_y,n_readings,r_j,elem_r_bar,elem_CV,elem_n_standards,elem_usable
Al,Black Shale,80300,92787.5244,82,1.15551,1.18704,0.10954,5,True
Al,Carbonate-Rich Shale,34500,37324.1463,82,1.08186,1.18704,0.10954,5,True
Al,Carbonatite,1958,2655.1585,82,1.35606,1.18704,0.10954,5,True
Al,Marine Shale,111132,117333.8780,82,1.05581,1.18704,0.10954,5,True
Al,Phosphate,12000,15431.5432,81,1.28596,1.18704,0.10954,5,True
As,Black Shale,46.24,46.5122,82,1.00589,0.94643,0.11728,4,True
As,Carbonate-Rich Shale,67,54.3293,82,0.81088,0.94643,0.11728,4,True
As,Marine Shale,25.7,27.3049,82,1.06245,0.94643,0.11728,4,True
As,Phosphate,24.8,22.4815,81,0.90651,0.94643,0.11728,4,True
Ba,Black Shale,454.11,451.4512,82,0.99415,1.04136,0.17391,5,True
Ba,Carbonate-Rich Shale,290,217.9390,82,0.75151,1.04136,0.17391,5,True
Ba,Carbonatite,1000,1194.4024,82,1.19440,1.04136,0.17391,5,True
Ba,Marine Shale,788,855.3171,82,1.08543,1.04136,0.17391,5,True
Ba,Phosphate,219.7,259.5309,81,1.18130,1.04136,0.17391,5,True
Ca,Black Shale,11800,12224.2683,82,1.03595,0.97336,0.06776,3,True
Ca,Carbonate-Rich Shale,59900,58680.2805,82,0.97964,0.97336,0.06776,3,True
Ca,Marine Shale,21084,19070.3171,82,0.90449,0.97336,0.06776,3,True
Ce,Black Shale,64.58,112.3676,68,1.73998,1.83144,0.19111,3,True
Ce,Carbonate-Rich Shale,36,79.8519,27,2.21811,1.83144,0.19111,3,True
Ce,Marine Shale,108,165.9146,82,1.53625,1.83144,0.19111,3,True
Co,Black Shale,40.65,249.9878,82,6.14976,6.37893,0.06049,3,True
Co,Carbonate-Rich Shale,12,73.9512,82,6.16260,6.37893,0.06049,3,True
Co,Marine Shale,22.7,154.9146,82,6.82443,6.37893,0.06049,3,True
Cr,Black Shale,98.35,83.1098,82,0.84504,28.50432,1.77095,4,False
Cr,Carbonatite,5,520.2561,82,104.05122,28.50432,1.77095,4,False
Cr,Marine Shale,109,106.6463,82,0.97841,28.50432,1.77095,4,False
Cr,Phosphate,49.2,400.6173,81,8.14263,28.50432,1.77095,4,False
Cu,Black Shale,176.65,182.8415,82,1.03505,1.41214,0.55311,5,False
Cu,Carbonate-Rich Shale,66,67.8780,82,1.02846,1.41214,0.55311,5,False
Cu,Carbonatite,5,13.4875,80,2.69750,1.41214,0.55311,5,False
Cu,Marine Shale,31,48.8171,82,1.57474,1.41214,0.55311,5,False
Cu,Phosphate,23,16.6735,49,0.72493,1.41214,0.55311,5,False
Fe,Black Shale,66400,65192.7683,82,0.98182,0.92710,0.13881,5,True
Fe,Carbonate-Rich Shale,21200,18959.3415,82,0.89431,0.92710,0.13881,5,True
Fe,Carbonatite,20562,14805.7683,82,0.72005,0.92710,0.13881,5,True
Fe,Marine Shale,67912,67011.4878,82,0.98674,0.92710,0.13881,5,True
Fe,Phosphate,39200,41261.4938,81,1.05259,0.92710,0.13881,5,True
K,Black Shale,31800,31949.4390,82,1.00470,0.74888,0.55375,4,False
K,Carbonate-Rich Shale,13800,12838.9024,82,0.93036,0.74888,0.55375,4,False
K,Carbonatite,1328,171.3659,82,0.12904,0.74888,0.55375,4,False
K,Marine Shale,28640,26676.3293,82,0.93144,0.74888,0.55375,4,False
La,Black Shale,33.53,85.8571,42,2.56061,2.66117,0.24946,3,True
La,Carbonate-Rich Shale,20,67.3913,23,3.36957,2.66117,0.24946,3,True
La,Marine Shale,52.5,107.8000,65,2.05333,2.66117,0.24946,3,True
Mg,Black Shale,12300,12308.2561,82,1.00067,0.90342,0.27413,5,True
Mg,Carbonate-Rich Shale,26800,26329.7439,82,0.98245,0.90342,0.27413,5,True
Mg,Carbonatite,7540,3535.2857,70,0.46887,0.90342,0.27413,5,True
Mg,Marine Shale,15683,15236.9512,82,0.97156,0.90342,0.27413,5,True
Mg,Phosphate,6400,6998.7284,81,1.09355,0.90342,0.27413,5,True
Mn,Black Shale,200,182.0000,82,0.91000,0.87450,0.03710,3,True
Mn,Carbonate-Rich Shale,267,225.9878,82,0.84640,0.87450,0.03710,3,True
Mn,Marine Shale,1162,1007.5732,82,0.86710,0.87450,0.03710,3,True
Mo,Black Shale,159.41,144.0366,82,0.90356,1.14909,0.42049,3,True
Mo,Carbonate-Rich Shale,35,29.3293,82,0.83798,1.14909,0.42049,3,True
Mo,Marine Shale,2.4,4.0938,32,1.70573,1.14909,0.42049,3,True
Nb,Black Shale,8.81,4.3125,80,0.48950,0.54325,0.13993,2,True
Nb,Marine Shale,15.3,9.1341,82,0.59700,0.54325,0.13993,2,True
Nd,Black Shale,31.65,205.0000,6,6.47709,6.71747,0.38827,3,True
Nd,Carbonate-Rich Shale,16,151.0000,3,9.43750,6.71747,0.38827,3,True
Nd,Marine Shale,49.2,208.5000,8,4.23780,6.71747,0.38827,3,True
Ni,Black Shale,192.94,202.7195,82,1.05069,1.38374,0.45348,5,True
Ni,Carbonate-Rich Shale,29,27.1463,82,0.93608,1.38374,0.45348,5,True
Ni,Carbonatite,13,16.3780,82,1.25985,1.38374,0.45348,5,True
Ni,Marine Shale,82.8,98.3902,82,1.18829,1.38374,0.45348,5,True
Ni,Phosphate,32,79.4815,81,2.48380,1.38374,0.45348,5,True
P,Black Shale,400,386.5610,82,0.96640,0.88741,0.11889,3,True
P,Carbonate-Rich Shale,1400,1299.5122,82,0.92822,0.88741,0.11889,3,True
P,Marine Shale,1615,1239.6585,82,0.76759,0.88741,0.11889,3,True
Pb,Black Shale,52.18,54.4390,82,1.04329,1.04577,0.01679,4,True
Pb,Carbonate-Rich Shale,38,39.9146,82,1.05039,1.04577,0.01679,4,True
Pb,Marine Shale,35,37.3049,82,1.06585,1.04577,0.01679,4,True
Pb,Phosphate,76.7,78.5062,81,1.02355,1.04577,0.01679,4,True
Pr,Black Shale,8.23,135.0000,5,16.40340,14.17109,0.22278,2,True
Pr,Marine Shale,12.6,150.4286,7,11.93878,14.17109,0.22278,2,True
Rb,Black Shale,140,157.5244,82,1.12517,0.86271,0.41942,3,True
Rb,Marine Shale,147,148.9146,82,1.01302,0.86271,0.41942,3,True
Rb,Phosphate,5.08,2.2857,7,0.44994,0.86271,0.41942,3,True
