element,date,time,block,reading,sample_id,x,sigma_x,y,sigma_y_c,epsilon,sigma_y_eff,rules,reason
Rb,2025-02-17,09:40:17,1,4,Carbonate-Rich Shale,0.000000,0.010000,75.000000,1.000000,0.847319,1.310705,1,certified value 0 <= 1x uncertainty 0.01 (~0)
Nb,2025-02-17,09:40:17,1,4,Carbonate-Rich Shale,0.000000,0.010000,2.000000,1.000000,0.550482,1.141504,1,certified value 0 <= 1x uncertainty 0.01 (~0)
Sn,2025-02-17,09:42:57,1,5,Marine Shale,3.300000,0.100000,23.000000,5.000000,4.072002,6.448348,5,only 1 standard(s) retained after Rules 1-4 (< MIN_STANDARDS=2)
Hg,2025-02-17,09:42:57,1,5,Marine Shale,0.000000,0.010000,6.000000,1.000000,1.292495,1.634179,1,certified value 0 <= 1x uncertainty 0.01 (~0)
Se,2025-02-17,09:45:39,1,6,Black Shale,6.310000,0.870000,3.000000,1.000000,0.509525,1.122326,5,only 1 standard(s) retained after Rules 1-4 (< MIN_STANDARDS=2)
Ag,2025-02-17,09:45:39,1,6,Black Shale,0.000000,0.010000,5.000000,2.000000,0.000000,2.000000,1,certified value 0 <= 1x uncertainty 0.01 (~0)
Sn,2025-02-17,09:45:39,1,6,Black Shale,0.000000,0.010000,20.000000,5.000000,4.210165,6.536474,1,certified value 0 <= 1x uncertainty 0.01 (~0)
Sb,2025-02-17,09:45:39,1,6,Black Shale,4.510000,0.100000,22.000000,7.000000,0.000000,7.000000,5,element CV 0.81177 >= 0.5 after Rules 1-4 (incoherent array)
Hg,2025-02-17,09:45:39,1,6,Black Shale,0.000000,0.010000,10.000000,1.000000,1.142141,1.518054,1,certified value 0 <= 1x uncertainty 0.01 (~0)
Mg,2025-02-17,09:48:24,1,7,Carbonatite,7540.000000,181.000000,3743.000000,906.000000,715.655280,1154.555533,4,manual: knock-on interference / matrix absorption
P,2025-02-17,09:48:24,1,7,Carbonatite,0.000000,0.010000,4804.000000,36.000000,88.475841,95.519497,1,certified value 0 <= 1x uncertainty 0.01 (~0)
