element,date,time,block,reading,sample_id,x,sigma_x,y,sigma_y_c,epsilon,sigma_y_eff
Mg,2025-02-17,09:40:17,1,4,Carbonate-Rich Shale,26800.000000,1206.000000,28484.000000,793.000000,759.354348,1097.938079
Al,2025-02-17,09:40:17,1,4,Carbonate-Rich Shale,34500.000000,1111.000000,38192.000000,244.000000,1108.266918,1134.809042
Si,2025-02-17,09:40:17,1,4,Carbonate-Rich Shale,131800.000000,982.000000,136624.000000,308.000000,858.155672,911.753891
P,2025-02-17,09:40:17,1,4,Carbonate-Rich Shale,1400.000000,288.000000,1237.000000,20.000000,87.424656,89.683167
S,2025-02-17,09:40:17,1,4,Carbonate-Rich Shale,15300.000000,1100.000000,13982.000000,45.000000,140.893190,147.905007
K,2025-02-17,09:40:17,1,4,Carbonate-Rich Shale,13800.000000,8301.000000,12878.000000,38.000000,88.450171,96.267506
Ca,2025-02-17,09:40:17,1,4,Carbonate-Rich Shale,59900.000000,1215.000000,58790.000000,124.000000,414.003852,432.174952
Ti,2025-02-17,09:40:17,1,4,Carbonate-Rich Shale,1500.000000,150.000000,1382.000000,53.000000,53.785036,75.510464
V,2025-02-17,09:40:17,1,4,Carbonate-Rich Shale,130.000000,6.000000,106.000000,15.000000,13.251512,20.015058
Mn,2025-02-17,09:40:17,1,4,Carbonate-Rich Shale,267.000000,34.000000,236.000000,8.000000,8.262908,11.501115
Fe,2025-02-17,09:40:17,1,4,Carbonate-Rich Shale,21200.000000,1088.000000,18862.000000,53.000000,163.645205,172.013817
Co,2025-02-17,09:40:17,1,4,Carbonate-Rich Shale,12.000000,1.500000,63.000000,10.000000,8.808504,13.326280
Ni,2025-02-17,09:40:17,1,4,Carbonate-Rich Shale,29.000000,0.010000,28.000000,2.000000,1.790287,2.684237
Cu,2025-02-17,09:40:17,1,4,Carbonate-Rich Shale,66.000000,9.000000,66.000000,2.000000,2.268090,3.023943
Zn,2025-02-17,09:40:17,1,4,Carbonate-Rich Shale,74.000000,9.000000,88.000000,2.000000,2.128861,2.920968
As,2025-02-17,09:40:17,1,4,Carbonate-Rich Shale,67.000000,5.000000,56.000000,1.000000,1.162998,1.533807
Sr,2025-02-17,09:40:17,1,4,Carbonate-Rich Shale,420.000000,30.000000,350.000000,1.000000,2.515338,2.706829
Y,2025-02-17,09:40:17,1,4,Carbonate-Rich Shale,13.000000,0.010000,11.000000,1.000000,0.713874,1.228664
Zr,2025-02-17,09:40:17,1,4,Carbonate-Rich Shale,53.000000,0.010000,44.000000,1.000000,1.097783,1.484967
Mo,2025-02-17,09:40:17,1,4,Carbonate-Rich Shale,35.000000,0.900000,28.000000,1.000000,1.065183,1.461032
Ba,2025-02-17,09:40:17,1,4,Carbonate-Rich Shale,290.000000,40.000000,242.000000,10.000000,16.503011,19.296356
Pb,2025-02-17,09:40:17,1,4,Carbonate-Rich Shale,38.000000,4.000000,39.000000,1.000000,0.972375,1.394816
Th,2025-02-17,09:40:17,1,4,Carbonate-Rich Shale,5.000000,0.210000,7.000000,2.000000,1.519712,2.511877
U,2025-02-17,09:40:17,1,4,Carbonate-Rich Shale,5.000000,0.400000,9.000000,1.000000,0.875229,1.328919
Mg,2025-02-17,09:42:57,1,5,Marine Shale,15683.000000,60.000000,15549.000000,741.000000,623.651959,968.515754
Al,2025-02-17,09:42:57,1,5,Marine Shale,111132.000000,212.000000,121635.000000,401.000000,1129.053095,1198.149361
Si,2025-02-17,09:42:57,1,5,Marine Shale,222717.000000,400.000000,236356.000000,457.000000,1745.922558,1804.742247
P,2025-02-17,09:42:57,1,5,Marine Shale,1615.000000,9.000000,1121.000000,22.000000,114.115102,116.216421
S,2025-02-17,09:42:57,1,5,Marine Shale,7150.000000,80.000000,4379.000000,30.000000,76.901515,82.546005
K,2025-02-17,09:42:57,1,5,Marine Shale,28640.000000,83.000000,27274.000000,71.000000,137.230155,154.509273
Ca,2025-02-17,09:42:57,1,5,Marine Shale,21084.000000,71.000000,18591.000000,50.000000,390.642432,393.829290
Ti,2025-02-17,09:42:57,1,5,Marine Shale,5126.000000,18.000000,5030.000000,79.000000,77.225008,110.474893
V,2025-02-17,09:42:57,1,5,Marine Shale,220.000000,1.400000,177.000000,21.000000,20.216140,29.149482
Cr,2025-02-17,09:42:57,1,5,Marine Shale,109.000000,1.000000,95.000000,10.000000,6.996565,12.204586
Mn,2025-02-17,09:42:57,1,5,Marine Shale,1162.000000,8.000000,1008.000000,14.000000,16.289252,21.478821
Fe,2025-02-17,09:42:57,1,5,Marine Shale,67912.000000,155.000000,67378.000000,153.000000,189.790472,243.781507
Co,2025-02-17,09:42:57,1,5,Marine Shale,22.700000,0.100000,168.000000,20.000000,22.311461,29.963332
Ni,2025-02-17,09:42:57,1,5,Marine Shale,82.800000,0.800000,101.000000,3.000000,2.967776,4.219916
Cu,2025-02-17,09:42:57,1,5,Marine Shale,31.000000,0.600000,54.000000,3.000000,7.755478,8.315494
Zn,2025-02-17,09:42:57,1,5,Marine Shale,186.000000,1.700000,232.000000,3.000000,7.688236,8.252816
As,2025-02-17,09:42:57,1,5,Marine Shale,25.700000,0.700000,30.000000,1.000000,1.080123,1.471960
Rb,2025-02-17,09:42:57,1,5,Marine Shale,147.000000,1.000000,149.000000,1.000000,1.226053,1.582152
Sr,2025-02-17,09:42:57,1,5,Marine Shale,178.000000,1.400000,177.000000,1.000000,1.403978,1.723704
Y,2025-02-17,09:42:57,1,5,Marine Shale,36.500000,0.100000,37.000000,1.000000,1.026882,1.433348
Zr,2025-02-17,09:42:57,1,5,Marine Shale,134.000000,1.600000,137.000000,1.000000,1.372813,1.698416
Nb,2025-02-17,09:42:57,1,5,Marine Shale,15.300000,0.100000,9.000000,1.000000,0.959099,1.385594
